원료명,영문명,CAS_No,설명_요약,태그_목록,상세_URL
흰전나무씨추출물,,,,"추출물, 항산화제, 항균/항염, 항산화, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EC%94%A8%EC%B6%94%EC%B6%9C%EB%AC%BC
흰무늬엉겅퀴열매추출물,,,,"추출물, 컨디셔닝, 항산화, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EB%AC%B4%EB%8A%AC%EC%97%89%EA%B2%85%ED%80%B4%EC%97%B4%EB%A7%A4%EC%B6%94%EC%B6%9C%EB%AC%BC
히오스사이아민,,,,"첨가제/액티브, 항산화제, 항균/항염, 보존/항균, AI, AI, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EC%98%A4%EC%8A%A4%EC%82%AC%EC%9D%B4%EC%95%84%EB%AF%BC
흰인도사목,,,,"추출물, 항균/항염, 자극 완화/진정, AI, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%9D%B8%EB%8F%84%EC%82%AC%EB%AA%A9
흰전나무구과추출물,,,,"추출물, 향료, 탈취/소취/향, 🇪🇺유럽 수출 가능, EN, AI, EU, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EA%B5%AC%EA%B3%BC%EC%B6%94%EC%B6%9C%EB%AC%BC
흰전나무오일 및 추출물,,,,"추출물, 오일/에몰리언트, 보습, 항균/항염, AI, AI, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EC%98%A4%EC%9D%BC%20%EB%B0%8F%20%EC%B6%94%EC%B6%9C%EB%AC%BC
힙티스 수아베올렌스씨오일,,,,"오일/에몰리언트, 보습, 피부 영양 공급, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%99%ED%8B%B0%EC%8A%A4%20%EC%88%98%EC%95%84%EB%B2%A0%EC%98%AC%EB%A0%8C%EC%8A%A4%EC%94%A8%EC%98%A4%EC%9D%BC
히비스쿠스 마키노이잎추출물,,,,"추출물, 컨디셔닝, 항산화, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BF%A0%EC%8A%A4%20%EB%A7%88%ED%82%A4%EB%85%B8%EC%9D%B4%EC%9E%8E%EC%B6%94%EC%B6%9C%EB%AC%BC
흰전나무잎오일,,,,"오일/에몰리언트, 향료, 탈취/소취/향, 자극 완화/진정, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EC%A0%84%EB%82%98%EB%AC%B4%EC%9E%8E%EC%98%A4%EC%9D%BC
흰무늬엉겅퀴추출물,,,,"추출물, 컨디셔닝, 항산화, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EB%AC%B4%EB%8A%AC%EC%97%89%EA%B2%85%ED%80%B4%EC%B6%94%EC%B6%9C%EB%AC%BC
"히오스신, 그 염류 및 유도체",,,,"첨가제/액티브, 컨디셔닝, 항균/항염, AI, AI, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EC%98%A4%EC%8A%A4%EC%8B%A0%2C%20%EA%B7%B8%20%EC%97%BC%EB%A5%98%20%EB%B0%8F%20%EC%9C%A0%EB%8F%84%EC%B2%B4
히푸릭애씨드,,,,"첨가제/액티브, 컨디셔닝, 🇪🇺유럽 수출 가능, KO, EN, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%ED%91%B8%EB%A6%AD%EC%95%A0%EC%94%A8%EB%93%9C
흰버드나무껍질수,,,,"추출물, 자극 완화/진정, 컨디셔닝, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, AI, EU, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9D%B0%EB%B2%84%EB%93%9C%EB%82%98%EB%AC%B4%EA%BB%8D%EC%A7%88%EC%88%98
히더추출물,,,,"추출물, 컨디셔닝, EWG GREEN, 🇨🇳중국 수출 가능, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, EU, EWG, 식, AI, 가능, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%8D%94%EC%B6%94%EC%B6%9C%EB%AC%BC
히비스커스꽃가루,,,,"스크럽, 파우더/색소/염료/안료, 각질 제거, 피부 영양 공급, 🇯🇵일본 수출 가능, 🇪🇺유럽 수출 가능, KO, EN, JP, AI, AI, EU, 식, AI, AI, 불가, 가능",https://coos.kr/ingredients/%ED%9E%88%EB%B9%84%EC%8A%A4%EC%BB%A4%EC%8A%A4%EA%BD%83%EA%B0%80%EB%A3%A8
흰소나무잎오일,,,,"EWG GREEN, KO, 식, 불가, 불가",https://coos.kr/ingredients/%ED%9D%B0%EC%86%8C%EB%82%98%EB%AC%B4%EC%9E%8E%EC%98%A4%EC%9D%BC
히스티딘디엔에이,,,,"단백질/펩타이드, 컨디셔닝, 🇪🇺유럽 수출 가능, KO, EN, AI, EU, 식, AI, 불가, 불가",https://coos.kr/ingredients/%ED%9E%88%EC%8A%A4%ED%8B%B0%EB%94%98%EB%94%94%EC%97%94%EC%97%90%EC%9D%B4
