brand,product_name,product_full,standard_ingredients,num_ingredients
아이오페,XMD 스템3 클리니컬 리커버리 세럼,아이오페 XMD 스템3 클리니컬 리커버리 세럼,,0
바이오더마,하이드라비오 히알루,바이오더마 하이드라비오 히알루,,0
넘버즈인,6번 푹잠 마스크팩 세럼,넘버즈인 6번 푹잠 마스크팩 세럼,,0
바이오힐보,NAD 프리즈셀 글로우 파워 세럼,바이오힐보 NAD 프리즈셀 글로우 파워 세럼,,0
디마프,히어로 마이 퍼스트 세럼 a.k.a 만능기초,디마프 히어로 마이 퍼스트 세럼 a.k.a 만능기초,,0
닥터자르트,시카페어 인텐시브 수딩 리페어 세럼,닥터자르트 시카페어 인텐시브 수딩 리페어 세럼,,0
아누아,피디알엔 히알루론산 캡슐 세럼 *,아누아 피디알엔 히알루론산 캡슐 세럼 *,,0
필킨X약손명가,포어솔루션 래디언스 세럼,필킨X약손명가 포어솔루션 래디언스 세럼,,0
성분에디터,그린토마토 NMN 포어 리프팅 앰플,성분에디터 그린토마토 NMN 포어 리프팅 앰플,,0
폴라초이스,% 나이아신아마이드 부스터 앰플,폴라초이스 % 나이아신아마이드 부스터 앰플,,0
바이오힐,보 프로바이오덤 콜라겐 리모델링 세럼,바이오힐 보 프로바이오덤 콜라겐 리모델링 세럼,,0
메디힐,PDRN 세럼,메디힐 PDRN 세럼,,0
차앤박,더마앤서 핑크토닝 딥인샷 PDRN앰플,차앤박 더마앤서 핑크토닝 딥인샷 PDRN앰플,,0
아벤느,HAB3 액티브 안티에이징 세럼,아벤느 HAB3 액티브 안티에이징 세럼,,0
비레디,시카페인 트러블리셋 세럼,비레디 시카페인 트러블리셋 세럼,,0
[유분잡는,한율 쑥히알 세럼,[유분잡는 한율 쑥히알 세럼,,0
VT,리들샷 에센스,VT 리들샷 에센스,,0
쏘내추럴,올 데이 페이스 프렙 픽서,쏘내추럴 올 데이 페이스 프렙 픽서,,0
퍼셀,초유 포어 디펜스 앰플 미스트,퍼셀 초유 포어 디펜스 앰플 미스트,,0
라로슈포제,에빠끌라 울트라 컨센트레이티드 세럼,라로슈포제 에빠끌라 울트라 컨센트레이티드 세럼,,0
코스메쉐프,백당고 막걸리 백옥빛 기미앰플 30ml_백당고앰플,코스메쉐프 백당고 막걸리 백옥빛 기미앰플 30ml_백당고앰플,,0
설화수,윤조에센스,설화수 윤조에센스,,0
바이오힐,보 판테셀 리페어 시카좀 앰플,바이오힐 보 판테셀 리페어 시카좀 앰플,,0
잇츠스킨,닥터세이버스 세럼 5종 택1,잇츠스킨 닥터세이버스 세럼 5종 택1,,0
